Full_name,Count_of_articles_published
"Hinchliffe, Lisa Janicke",38
"Cole, Timothy W",33
"Hahn, Jim",29
"Laskowski, Mary S",29
"Mischo, William H",28
"Ward, David",24
"Shreeves, Sarah L",24
"Hensley, Merinda Kaye",23
"Sroka, Marek",22
"Rudasill, Lynne M",21
"Chrzastowski, Tina E",20
"Schlembach, Mary C",18
"Szylowicz, Caroline",18
"Joseph, Lura E",17
"Searing, Susan E",17
"Han, Myung-Ja",17
"Teper, Thomas H",17
"Dougan, Kirstin",16
"Prom, Christopher J",16
"Avery, Susan",16
"Mestre, Lori S",15
"Kaufman, Paula T",15
"Hotchkiss, Valerie",15
"Wiley, Lynn",13
"Weible, Cherie L",13
"Jin, Qiang",12
"Block, Jane",11
"Jacoby, JoAnn",11
"O'Brien, Nancy P",11
"Norman, Michael A",10
"Pionke, JJ",10
"Teper, Jennifer Hain",10
"Bregman, Alvan",10
"Green, Harriett E",9
"Kagan, Alfred",9
"Williams, Sarah C",8
"Imker, Heidi J",8
"Swain, Ellen D",8
"Weissinger, Thomas",8
"Carns, Paula Mae",8
"Kern, M. Kathleen",8
"Walter, Scott",8
"Liao, Jing",8
"Ma, Wei",8
"Jacobson, Frances F",8
"Green, Harriett",7
"Song, Yoo-Seong",7
"Sotomayor, Antonio",7
"Rimkus, Kyle",7
"Witt, Steven W",7
"Woodard, Beth S",7
"Harris, Frances Jacobson",7
"Shelburne, Wendy Allen",7
"Bennett, Nuala A",7
"Tracy, Daniel G",6
"Habing, Thomas G",6
"Hogenboom, Karen",6
"Cole, Timothy",6
"Schmidt, Karen A",6
"Schmidt, Diane C",6
"Atkins, Stephanie E",6
"Sandore Namachchivaya, Beth",6
"German, Lisa",6
"Youngen, Gregory K",6
"Trehub, Aaron",6
"Thacker, Mara",5
"Burnette, Margaret H",5
"Han, Myung-Ja K",5
"Ingold, Cindy",5
"Phillips, Carissa M. Holler",5
"Holler, Carissa M",5
"Gillie, Esther",5
"Ackerson, Linda G",5
"Allen, Robert S",5
"Kibbee, Jo",5
"Choldin, Marianna Tax",5
"Zarate, Martha",5
"Cooper, Eric A",5
"Stein, Ayla",4
"Kerby, Erin E",4
"Allen, Mary Beth",4
"Mestre, Lori",4
"Emanuel, Jennifer",4
"Chilana, Rajwant",4
"Elhard, K.C",4
"Kilton, Thomas D",4
"Pilch, Janice T",4
"Maher, William J",4
"Imker, Heidi",3
"Sheehan, Beth",3
"Wiley, Christie A",3
"Burger, Robert H",3
"Fallaw, Colleen",3
"Trei, Kelli",3
"Chu, Clara M",3
"Namachchivaya, Beth Sandore",3
"Love, Emily",3
"Romero, Lisa",3
"Naun, Chew Chiat",3
"Jiang, Shu Yong",3
"Kruger, Betsy",3
"Ford, Barbara J",3
"Chaplan, Margaret A",3
"Kaczmarek, Joanne S",3
"Smith, Rebecca A",3
"Watson, Paula D",3
"McEathron, Scott R",3
"Quinn, Christopher J",3
"Wright, Joyce C",3
"Chan, Winnie S",3
"Jones, Barbara M",3
"Lavagnino, Mary Beth",3
"Holder, Sara",2
"Moustafa, Laila Hussein",2
"Benson, Sara R",2
"Emerson, Melanie",2
"Habing, Thomas",2
"Teper, Thomas",2
"Tracy, Daniel",2
"Wilkin, John P",2
"Zhang, Qian",2
"Lampron, Patricia",2
"Weathers, William Fletcher",2
"Hinchliffe, Lisa J",2
"Hussein Moustafa, Laila",2
"Kern, Kathleen",2
"Kurt, Eric",2
"Whitacre, James",2
"Maddox Abbott, Jennifer A",2
"Lenkart, Joe",2
"Witt, Steven",2
"Hahn, James",2
"Wiley, Christie",2
"Yu, Jen-chien",2
"Block, Jane, ed",2
"Hess, Kirk M",2
"Sullivan, Helen",2
"Fulton, Camilla",2
"Kagan, Al",2
"Walter, Scott, ed",2
"Slater, Robert",2
"Chilana, Rajwant, ed",2
"Griffiths, David",2
"Griffiths, David N",2
"Sutton, Allison M",2
"Atkins, Stephanie S",2
"Davidson, Stephanie",2
"Koetter, Nuala A",2
"Erlandson, Rene J",2
"Zumalt, Joseph R",2
"Burger, Robert",2
"Straw, Joseph E",2
"Wu, Qi(Kerry)",2
"Griscom, Richard",2
"Yu, Priscilla C",2
"Callister, Paul D",2
"Johnson, Jenny Marie",2
"Kilton, Thomas",2
"Kluegel, Kathleen M",2
"Smith, Stephen J",2
"Troutman, Leslie",2
"Brockman, William S",2
"Simpson, Fung-yin K",2
" Hinchliffe, Lisa J.",1
"Rand, Allison R.",1
"Collier, Jillian R.",1
"Swatscheno, Janet",1
"Braxton, Susan M",1
"Anderson, Bethany",1
"Burnette, Margaret",1
"Dunham, Elise M",1
"Wickes, Elizabeth D",1
"Fallaw, M. Colleen",1
"Mischo., William H",1
"Schlembach,  Mary C",1
"Witt, Steve W",1
"Namachchivaya, Beth",1
"Dunham, Elise",1
"Wickes, Elizabeth",1
"Ream-Sotomayor, Nicole E",1
"Weber, Janet",1
"Cabada, Elisandro",1
"Pionke, J.J",1
"Chu, Clara",1
"Simmons, Heather J.E.",1
"Sobel, Karen",1
"Mischo,  William H",1
"Atkinson, Amy L",1
"Chapman, Suzanne",1
"Vannoy, Jordan A",1
"Jacoby, Joann",1
"Lenkart, Joseph J",1
"LeCrone, Jessica M",1
"Whitacre, James V",1
"Maden, Chris",1
"Burnette, Peg",1
"Pionke, K.A",1
"Sander, Janelle",1
"Lenkart, Joseph",1
"Chen, Anna",1
"Hensley, Merinda K",1
"Popp, Tracy",1
"Rimkus, Kyle R",1
"Simmons, Heather J.E",1
"Hensley, Merinda Kaye, ed",1
"Maddox Abbott, Jennifer A.",1
"Rudasill, Lynne M., ed",1
"Wagstaff, John",1
"Witt, Steve",1
"Hinchliffe, Lisa Janicke, ed",1
"Cole, Timothy W.",1
"O'Brien, Nancy P., ed",1
"Remnek, Miranda Beaven, ed",1
"Weible, Cherie L., ed",1
"Malenfant, Kara",1
"Silva, Erin S",1
"Witt, Steven W., ed",1
"Rudsasill, Lynne M., ed",1
"Condill, Kit",1
"Edwards, Margaret B",1
"Batoma, Atoma",1
"Ford, Barbara",1
"Robak, Michael J",1
"Jiang, Shy Yong",1
"Jin, Qiang, ed",1
"O'Brien, Nancy P.",1
"Prom, Christopher J., ed",1
"Swain, Ellen D., ed",1
"Shreeves, Sarah L., ed",1
"Laskwoski, Mary S",1
"Ackerson, Linda G., ed",1
"Allison, Melody",1
"Cuervo, Adriana P",1
"Ingold, Cindy, ed",1
"Searing, Susan E., ed",1
"Janke, Karen L",1
"Gillie, Esther R",1
"Schlembach, Mary C.",1
"Newman, Kathleen A",1
"Searing, Susan E.",1
"Carnes, Paula Mae",1
"Cook, Christopher D",1
"Rinkel, Gene K",1
"Rinkel, Margaret E",1
"Allison, Melody M.",1
"Clark, Kathleen A",1
"Porta, Maria",1
"Wei, Karen",1
"Burbank, Richard D",1
"Hotchkiss, Valerie, ed",1
"Kagan, Al.",1
"Habing, Thomas G.",1
"Weible, Cherie L.",1
"Youngen, Greg",1
"Joseph, Lura E., ed",1
"Moyer, Jessica",1
"Wei, Karen T",1
"Callister, Paul Douglas",1
"O'Brien, Nancy P, ed",1
"Shirkey, Cynthia D",1
"Teper, Tom",1
"Wu, Qi (Kerry)",1
"Clark, Kathleen Ann",1
"Healey, Paul D",1
"Kagan, Alfred(issue ed.)",1
"Kagan, Al, ed",1
"Kagan, Alfred, ed",1
"Remnek, Miranda Beaven",1
"German, Lisa B",1
"Copeland, Ann",1
"Sutton, Ellen D",1
"Jones, Trevor",1
"Kibbee, Josephine Z",1
"Mallory, Mary",1
"Ferrar, Robert",1
"Penka, Carol Bates",1
"Rudasill,  Lynne M",1
"DuBois, Lori",1
"Schlembach, Mary C , ed",1
"Mischo, William H , e",1
"Sullivan, Helen F",1
"Williams, James W",1
"Ferrer, Robert",1
"Gonzalez, Nelly",1
"Griscom, Richard, ed",1
"Ward, Jennifer",1
"Schlembach, Mary C, ed",1
"Smith, Ronald D",1
"Williams, M",1
"Reisinger, Sarah L",1
"Clarage, Elizabeth C",1
"Gonzalez, Nelly S",1
"Jones, Barbara",1
"Quinn, Christopher",1
"Romero, Nancy P",1
"Sandore Namachchivaya, Beth, ed",1
"Scheven, Yvette",1
"Schmidt, Karen A, ed",1
"Schnell, Tamara J [Kuhn]",1
"Montanelli, Dale S",1
"Stenstrom, Patricia F",1
"Atkins, Stephen E",1
"Stenstrom, Patricia F, ed",1
"Montanelli, Dale J, ed",1
"Nowak, Maria Gorecki",1
"Cooper, Julie F",1
"Smith, Greg D",1
"Thurston, Patricia F",1
"Williams, Martha E",1
"Burgard, Daniel E",1
"Yu, Priscilla",1
"Zarate, Martha         ",1
